sex,age,calyr,risk_score,popn,cases,rate
1,5,1997,1,333990,599,179.347
1,5,1997,2,333990,16,4.791
1,5,1997,3,333990,0,0
1,6,1997,1,336813,518,153.795
1,6,1997,2,336813,16,4.75
1,6,1997,3,336813,0,0
1,7,1997,1,330893,422,127.534
1,7,1997,2,330893,5,1.511
1,7,1997,3,330893,0,0
1,8,1997,1,327596,341,104.092
1,8,1997,2,327596,9,2.747
1,8,1997,3,327596,0,0
1,9,1997,1,331403,313,94.447
1,9,1997,2,331403,6,1.81
1,9,1997,3,331403,2,0.603
1,10,1997,1,321858,272,84.509
1,10,1997,2,321858,8,2.486
1,10,1997,3,321858,1,0.311
1,11,1997,1,317761,263,82.767
1,11,1997,2,317761,7,2.203
1,11,1997,3,317761,0,0
1,12,1997,1,319724,250,78.192
1,12,1997,2,319724,9,2.815
1,12,1997,3,319724,0,0
1,13,1997,1,306765,270,88.015
1,13,1997,2,306765,11,3.586
1,13,1997,3,306765,1,0.326
1,14,1997,1,303759,219,72.097
1,14,1997,2,303759,8,2.634
1,14,1997,3,303759,0,0
1,15,1997,1,304724,229,75.15
1,15,1997,2,304724,14,4.594
1,15,1997,3,304724,0,0
1,16,1997,1,309054,244,78.951
1,16,1997,2,309054,21,6.795
1,16,1997,3,309054,0,0
1,17,1997,1,311554,249,79.922
1,17,1997,2,311554,12,3.852
1,17,1997,3,311554,2,0.642
1,18,1997,1,295373,294,99.535
1,18,1997,2,295373,16,5.417
1,18,1997,3,295373,0,0
1,19,1997,1,266046,238,89.458
1,19,1997,2,266046,14,5.262
1,19,1997,3,266046,0,0
1,20,1997,1,273080,294,107.661
1,20,1997,2,273080,19,6.958
1,20,1997,3,273080,0,0
1,21,1997,1,284810,291,102.173
1,21,1997,2,284810,18,6.32
1,21,1997,3,284810,0,0
1,22,1997,1,296584,304,102.5
1,22,1997,2,296584,26,8.766
1,22,1997,3,296584,0,0
1,23,1997,1,308742,325,105.266
1,23,1997,2,308742,22,7.126
1,23,1997,3,308742,0,0
1,24,1997,1,331314,392,118.317
1,24,1997,2,331314,27,8.149
1,24,1997,3,331314,0,0
1,25,1997,1,352319,398,112.966
1,25,1997,2,352319,30,8.515
1,25,1997,3,352319,0,0
1,26,1997,1,364090,446,122.497
1,26,1997,2,364090,29,7.965
1,26,1997,3,364090,0,0
1,27,1997,1,363235,473,130.219
1,27,1997,2,363235,31,8.534
1,27,1997,3,363235,0,0
1,28,1997,1,374297,510,136.255
1,28,1997,2,374297,45,12.023
1,28,1997,3,374297,0,0
1,29,1997,1,379988,513,135.004
1,29,1997,2,379988,38,10
1,29,1997,3,379988,0,0
1,30,1997,1,391416,574,146.647
1,30,1997,2,391416,32,8.175
1,30,1997,3,391416,0,0
1,31,1997,1,392615,587,149.51
1,31,1997,2,392615,40,10.188
1,31,1997,3,392615,0,0
1,32,1997,1,396480,600,151.332
1,32,1997,2,396480,39,9.837
1,32,1997,3,396480,0,0
1,33,1997,1,393718,608,154.425
1,33,1997,2,393718,37,9.398
1,33,1997,3,393718,0,0
1,34,1997,1,386000,615,159.326
1,34,1997,2,386000,41,10.622
1,34,1997,3,386000,0,0
1,35,1997,1,375286,625,166.54
1,35,1997,2,375286,35,9.326
1,35,1997,3,375286,0,0
1,36,1997,1,368201,656,178.164
1,36,1997,2,368201,52,14.123
1,36,1997,3,368201,0,0
1,37,1997,1,353495,637,180.201
1,37,1997,2,353495,49,13.862
1,37,1997,3,353495,0,0
1,38,1997,1,345160,625,181.075
1,38,1997,2,345160,32,9.271
1,38,1997,3,345160,0,0
1,39,1997,1,339980,667,196.188
1,39,1997,2,339980,38,11.177
1,39,1997,3,339980,0,0
1,40,1997,1,328922,658,200.047
1,40,1997,2,328922,44,13.377
1,40,1997,3,328922,0,0
1,41,1997,1,319009,630,197.487
1,41,1997,2,319009,50,15.674
1,41,1997,3,319009,1,0.313
1,42,1997,1,310744,683,219.795
1,42,1997,2,310744,43,13.838
1,42,1997,3,310744,0,0
1,43,1997,1,313802,677,215.741
1,43,1997,2,313802,59,18.802
1,43,1997,3,313802,0,0
1,44,1997,1,311598,673,215.983
1,44,1997,2,311598,62,19.897
1,44,1997,3,311598,0,0
1,45,1997,1,307004,658,214.329
1,45,1997,2,307004,48,15.635
1,45,1997,3,307004,1,0.326
1,46,1997,1,311439,704,226.047
1,46,1997,2,311439,51,16.376
1,46,1997,3,311439,0,0
1,47,1997,1,319669,755,236.182
1,47,1997,2,319669,75,23.462
1,47,1997,3,319669,0,0
1,48,1997,1,331269,746,225.195
1,48,1997,2,331269,57,17.207
1,48,1997,3,331269,0,0
1,49,1997,1,355592,914,257.036
1,49,1997,2,355592,69,19.404
1,49,1997,3,355592,0,0
1,50,1997,1,381690,981,257.015
1,50,1997,2,381690,89,23.317
1,50,1997,3,381690,0,0
1,51,1997,1,305174,894,292.948
1,51,1997,2,305174,72,23.593
1,51,1997,3,305174,2,0.655
1,52,1997,1,299727,876,292.266
1,52,1997,2,299727,86,28.693
1,52,1997,3,299727,0,0
1,53,1997,1,296422,987,332.971
1,53,1997,2,296422,91,30.699
1,53,1997,3,296422,2,0.675
1,54,1997,1,282255,997,353.227
1,54,1997,2,282255,88,31.177
1,54,1997,3,282255,0,0
1,55,1997,1,254632,913,358.557
1,55,1997,2,254632,95,37.309
1,55,1997,3,254632,1,0.393
1,56,1997,1,237106,953,401.93
1,56,1997,2,237106,82,34.584
1,56,1997,3,237106,0,0
1,57,1997,1,248954,1086,436.225
1,57,1997,2,248954,116,46.595
1,57,1997,3,248954,0,0
1,58,1997,1,250232,1185,473.561
1,58,1997,2,250232,120,47.955
1,58,1997,3,250232,0,0
1,59,1997,1,248376,1210,487.165
1,59,1997,2,248376,130,52.34
1,59,1997,3,248376,0,0
1,60,1997,1,242292,1263,521.272
1,60,1997,2,242292,129,53.242
1,60,1997,3,242292,0,0
1,61,1997,1,234844,1297,552.282
1,61,1997,2,234844,139,59.188
1,61,1997,3,234844,0,0
1,62,1997,1,228420,1375,601.961
1,62,1997,2,228420,146,63.917
1,62,1997,3,228420,0,0
1,63,1997,1,218645,1410,644.881
1,63,1997,2,218645,155,70.891
1,63,1997,3,218645,0,0
1,64,1997,1,216096,1426,659.892
1,64,1997,2,216096,184,85.147
1,64,1997,3,216096,1,0.463
1,65,1997,1,217709,1628,747.787
1,65,1997,2,217709,187,85.894
1,65,1997,3,217709,0,0
1,66,1997,1,216145,1710,791.136
1,66,1997,2,216145,191,88.367
1,66,1997,3,216145,0,0
1,67,1997,1,209146,1842,880.724
1,67,1997,2,209146,208,99.452
1,67,1997,3,209146,0,0
1,68,1997,1,200898,1861,926.341
1,68,1997,2,200898,209,104.033
1,68,1997,3,200898,0,0
1,69,1997,1,193912,1997,1029.849
1,69,1997,2,193912,192,99.014
1,69,1997,3,193912,0,0
1,70,1997,1,190502,2124,1114.949
1,70,1997,2,190502,244,128.083
1,70,1997,3,190502,0,0
1,71,1997,1,185504,2205,1188.654
1,71,1997,2,185504,235,126.682
