POP_ESND	SEX	AGE	ANNEE2	NB_TOUTE_BACT	NB_LOW	NB_SEPSIS	NB_INF_GRAVE	TX_TOUTE_BACT	TX_LOW	TX_SEPSIS	TX_INF_GRAVE
9671	1	34	2013	25	26	2	4	0,002585048	0,00268845	0,000206804	0,000413608
9391	1	35	2013	18	18	3	4	0,001916729	0,001916729	0,000319455	0,00042594
9507	1	36	2013	23	20	3	5	0,00241927	0,002103713	0,000315557	0,000525928
9120	1	37	2013	26	25	5	4	0,002850877	0,002741228	0,000548246	0,000438596
9545	1	38	2013	37	33	3	7	0,003876375	0,003457307	0,000314301	0,000733368
10061	1	39	2013	26	23	2	8	0,002584236	0,002286055	0,000198787	0,00079515
10347	1	40	2013	36	35	2	3	0,003479269	0,003382623	0,000193293	0,000289939
10520	1	41	2013	29	29	4	7	0,002756654	0,002756654	0,000380228	0,000665399
10550	1	42	2013	44	43	4	8	0,004170616	0,004075829	0,000379147	0,000758294
10369	1	43	2013	43	42	6	9	0,004146977	0,004050535	0,000578648	0,000867972
9923	1	44	2013	31	25	4	4	0,003124055	0,002519399	0,000403104	0,000403104
9807	1	45	2013	45	36	6	11	0,004588559	0,003670847	0,000611808	0,001121648
9783	1	46	2013	57	56	5	12	0,005826434	0,005724215	0,000511091	0,001226618
9889	1	47	2013	43	45	3	14	0,004348266	0,004550511	0,000303367	0,001415714
10073	1	48	2013	55	52	4	11	0,005460141	0,005162315	0,000397101	0,001092028
9947	1	49	2013	52	45	5	10	0,005227707	0,004523977	0,000502664	0,001005328
9794	1	50	2013	42	43	2	7	0,00428834	0,004390443	0,000204207	0,000714723
9482	1	51	2013	82	64	12	24	0,008647965	0,006749631	0,001265556	0,002531112
9326	1	52	2013	72	68	8	20	0,007720352	0,007291443	0,000857817	0,002144542
9377	1	53	2013	80	67	12	19	0,008531513	0,007145142	0,001279727	0,002026234
9175	1	54	2013	70	63	8	23	0,007629428	0,006866485	0,000871935	0,002506812
9019	1	55	2013	67	53	9	15	0,007428762	0,005876483	0,000997893	0,001663156
8777	1	56	2013	81	68	14	21	0,009228666	0,007747522	0,001595078	0,002392617
8790	1	57	2013	87	84	12	13	0,009897611	0,009556314	0,001365188	0,001478953
8570	1	58	2013	108	93	13	24	0,0126021	0,010851809	0,001516919	0,002800467
8665	1	59	2013	101	87	16	34	0,011656088	0,010040392	0,001846509	0,003923832
8476	1	60	2013	108	104	16	24	0,012741859	0,012269939	0,001887683	0,002831524
8532	1	61	2013	97	90	16	25	0,011368964	0,010548523	0,001875293	0,002930145
8326	1	62	2013	119	113	15	37	0,014292577	0,013571943	0,001801585	0,004443911
8731	1	63	2013	117	100	17	37	0,013400527	0,011453442	0,001947085	0,004237773
8393	1	64	2013	120	108	19	36	0,014297629	0,012867866	0,002263791	0,004289289
8336	1	65	2013	129	111	20	35	0,015475048	0,013315739	0,002399232	0,004198656
8200	1	66	2013	130	122	26	35	0,015853659	0,014878049	0,003170732	0,004268293
7607	1	67	2013	123	111	16	38	0,016169318	0,014591823	0,002103326	0,004995399
5822	1	68	2013	110	104	25	46	0,018893851	0,017863277	0,004294057	0,007901065
5644	1	69	2013	92	80	18	35	0,016300496	0,014174344	0,003189227	0,006201276
5487	1	70	2013	103	98	34	38	0,018771642	0,017860397	0,006196464	0,00692546
5113	1	71	2013	110	102	11	27	0,021513788	0,019949149	0,002151379	0,005280657
4516	1	72	2013	87	74	11	21	0,019264836	0,016386182	0,002435784	0,004650133
8638	2	0	2013	167	161	8	15	0,019333179	0,018638574	0,00092614	0,001736513
8761	2	1	2013	128	117	4	8	0,014610204	0,01335464	0,000456569	0,000913138
8854	2	2	2013	65	55	4	8	0,007341315	0,006211882	0,000451773	0,000903546
9085	2	3	2013	48	46	1	3	0,005283434	0,005063291	0,000110072	0,000330215
9030	2	4	2013	28	26	1	6	0,003100775	0,002879291	0,000110742	0,000664452
8973	2	5	2013	30	28	1	3	0,003343363	0,003120473	0,000111445	0,000334336
8904	2	6	2013	25	27	1	5	0,002807727	0,003032345	0,000112309	0,000561545
8851	2	7	2013	22	23			0,002485595	0,002598576	0	0
8745	2	8	2013	20	19		3	0,002287021	0,00217267	0	0,000343053
8982	2	9	2013	11	11	1		0,001224672	0,001224672	0,000111334	0
8776	2	10	2013	7	7	1	2	0,00079763	0,00079763	0,000113947	0,000227894
8865	2	11	2013	15	14		2	0,001692047	0,001579244	0	0,000225606
9126	2	12	2013	15	15			0,001643655	0,001643655	0	0
9260	2	13	2013	12	12	2	1	0,001295896	0,001295896	0,000215983	0,000107991
8962	2	14	2013	8	6	1	4	0,000892658	0,000669493	0,000111582	0,000446329
9490	2	15	2013	15	13	1	2	0,001580611	0,001369863	0,000105374	0,000210748
9193	2	16	2013	25	20		6	0,00271946	0,002175568	0	0,000652671
9518	2	17	2013	34	28	3	3	0,003572179	0,002941794	0,000315192	0,000315192
9652	2	18	2013	28	28		2	0,002900953	0,002900953	0	0,000207211
9479	2	19	2013	39	37		5	0,004114358	0,003903365	0	0,000527482
9428	2	20	2013	43	42	4	5	0,004560882	0,004454815	0,000424268	0,000530335
9707	2	21	2013	70	66	1	7	0,007211291	0,006799217	0,000103018	0,000721129
9749	2	22	2013	38	32	1		0,003897836	0,003282388	0,000102575	0
9710	2	23	2013	76	71	3	5	0,007826982	0,007312049	0,00030896	0,000514933
9866	2	24	2013	58	59	1	4	0,005878776	0,005980134	0,000101358	0,000405433
9967	2	25	2013	71	70	2	4	0,007123508	0,007023176	0,000200662	0,000401324
9761	2	26	2013	80	77	1	4	0,008195882	0,007888536	0,000102449	0,000409794
9869	2	27	2013	78	80	4	11	0,007903536	0,008106191	0,00040531	0,001114601
9733	2	28	2013	97	93	3	2	0,009966095	0,009555122	0,00030823	0,000205486
9697	2	29	2013	99	94	2	6	0,010209343	0,00969372	0,000206249	0,000618748
9568	2	30	2013	126	121	4	9	0,013168896	0,012646321	0,00041806	0,000940635
10036	2	31	2013	117	124	6	3	0,011658031	0,01235552	0,000597848	0,000298924
10055	2	32	2013	87	83	5	6	0,008652412	0,0082546	0,000497265	0,000596718
10053	2	33	2013	83	84	2	9	0,008256242	0,008355715	0,000198946	0,000895255
9533	2	34	2013	87	81	3	4	0,009126193	0,008496801	0,000314696	0,000419595
9210	2	35	2013	95	86	2	7	0,010314875	0,009337676	0,000217155	0,000760043
9237	2	36	2013	78	74	4	6	0,0084443	0,008011259	0,000433041	0,000649562
8897	2	37	2013	78	69	4	4	0,008767	0,007755423	0,00044959	0,00044959
9094	2	38	2013	48	49	2	7	0,005278205	0,005388168	0,000219925	0,000769738
9695	2	39	2013	59	58	5	3	0,006085611	0,005982465	0,00051573	0,000309438
9955	2	40	2013	66	65	3	4	0,006629834	0,006529382	0,000301356	0,000401808
10301	2	41	2013	64	58	6	11	0,006212989	0,005630521	0,000582468	0,001067857
10295	2	42	2013	50	44	5	8	0,004856727	0,004273919	0,000485673	0,000777076
9899	2	43	2013	41	40	3	5	0,004141833	0,004040812	0,000303061	0,000505102
9687	2	44	2013	53	53	8	9	0,00547125	0,00547125	0,000825849	0,00092908
9684	2	45	2013	47	48	7	11	0,004853366	0,004956629	0,000722842	0,001135894
9630	2	46	2013	43	35	6	14	0,004465213	0,003634476	0,000623053	0,00145379
9708	2	47	2013	35	31	5	10	0,003605274	0,003193243	0,000515039	0,001030078
9889	2	48	2013	56	52	7	5	0,005662858	0,005258368	0,000707857	0,000505612
10040	2	49	2013	47	48	5	9	0,004681275	0,004780876	0,000498008	0,000896414
9725	2	50	2013	43	41	4	9	0,004421594	0,004215938	0,000411311	0,00092545
9664	2	51	2013	53	52	7	6	0,005484272	0,005380795	0,000724338	0,000620861
9360	2	52	2013	56	50	6	12	0,005982906	0,00534188	0,000641026	0,001282051
9183	2	53	2013	45	49	4	6	0,004900359	0,005335947	0,000435587	0,000653381
9418	2	54	2013	44	40	5	19	0,004671905	0,004247186	0,000530898	0,002017413
9286	2	55	2013	68	68	8	14	0,007322852	0,007322852	0,000861512	0,001507646
9060	2	56	2013	64	57	6	17	0,007064018	0,006291391	0,000662252	0,00187638
9005	2	57	2013	53	46	7	15	0,005885619	0,005108273	0,000777346	0,001665741
9025	2	58	2013	63	61	9	13	0,006980609	0,006759003	0,00099723	0,001440443
8904	2	59	2013	68	57	8	16	0,007637017	0,006401617	0,000898473	0,001796945
8805	2	60	2013	69	58	5	15	0,007836457	0,006587166	0,000567859	0,001703578
8914	2	61	2013	68	64	7	23	0,00762845	0,007179717	0,000785282	0,002580211
8660	2	62	2013	69	63	11	20	0,007967667	0,007274827	0,001270208	0,002309469
8856	2	63	2013	87	81	9	14	0,009823848	0,009146341	0,00101626	0,001580849
8822	2	64	2013	70	68	7	13	0,007934709	0,007708003	0,000793471	0,001473589
8678	2	65	2013	75	62	12	24	0,008642544	0,007144503	0,001382807	0,002765614
8574	2	66	2013	91	87	16	29	0,010613483	0,010146956	0,001866107	0,003382319
8236	2	67	2013	110	95	13	31	0,013355998	0,011534726	0,001578436	0,003763963
6183	2	68	2013	83	73	6	20	0,013423904	0,011806566	0,000970403	0,003234676
6079	2	69	2013	79	84	13	12	0,012995558	0,013818062	0,00213851	0,001974009
5853	2	70	2013	85	79	9	16	0,014522467	0,013497352	0,001537673	0,002733641
5579	2	71	2013	59	66	10	14	0,010575372	0,011830077	0,001792436	0,00250941
4931	2	72	2013	51	53	6	13	0,01034273	0,010748327	0,001216792	0,002636382
9123	1	0	2014	262	236	16	32	0,028718623	0,025868684	0,001753809	0,003507618
8940	1	1	2014	126	116	6	21	0,01409396	0,012975391	0,000671141	0,002348993
9216	1	2	2014	46	42		8	0,004991319	0,004557292	0	0,000868056
9150	1	3	2014	39	37	1	8	0,004262295	0,004043716	0,00010929	0,000874317
9299	1	4	2014	30	28	1	5	0,003226153	0,003011076	0,000107538	0,000537692
9402	1	5	2014	22	20	3	1	0,002339928	0,002127207	0,000319081	0,00010636
9416	1	6	2014	27	26	1	4	0,00286746	0,002761257	0,000106202	0,000424809
9377	1	7	2014	24	20		5	0,002559454	0,002132878	0	0,00053322
9404	1	8	2014	19	20	1	5	0,002020417	0,002126755	0,000106338	0,000531689
9395	1	9	2014	18	14		4	0,001915913	0,001490154	0	0,000425758
9492	1	10	2014	22	16	2	9	0,002317741	0,00168563	0,000210704	0,000948167
9335	1	11	2014	13	11		3	0,001392608	0,001178361	0	0,000321371
9501	1	12	2014	15	12	1	1	0,001578781	0,001263025	0,000105252	0,000105252
9714	1	13	2014	10	10	1	4	0,001029442	0,001029442	0,000102944	0,000411777
9967	1	14	2014	21	19	1	5	0,002106953	0,001906291	0,000100331	0,000501655
9642	1	15	2014	11	11		3	0,001140842	0,001140842	0	0,000311139
9757	1	16	2014	20	17	2	5	0,00204981	0,001742339	0,000204981	0,000512453
9529	1	17	2014	17	14	3	3	0,001784028	0,001469199	0,000314828	0,000314828
9686	1	18	2014	14	14		2	0,001445385	0,001445385	0	0,000206484
9717	1	19	2014	22	18	2	5	0,002264073	0,001852424	0,000205825	0,000514562
9661	1	20	2014	15	14	1	2	0,001552634	0,001449125	0,000103509	0,000207018
9730	1	21	2014	15	13		4	0,001541624	0,001336074	0	0,0004111
9746	1	22	2014	15	15	1	2	0,001539093	0,001539093	0,000102606	0,000205212
9920	1	23	2014	20	19		2	0,002016129	0,001915323	0	0,000201613
10009	1	24	2014	19	16		3	0,001898292	0,001598561	0	0,00029973
10001	1	25	2014	19	15		7	0,00189981	0,00149985	0	0,00069993
9945	1	26	2014	22	18		3	0,002212167	0,001809955	0	0,000301659
9752	1	27	2014	18	16	1	1	0,001845775	0,001640689	0,000102543	0,000102543
10213	1	28	2014	28	24	3	4	0,002741604	0,002349946	0,000293743	0,000391658
9925	1	29	2014	22	19		5	0,002216625	0,001914358	0	0,000503778
9839	1	30	2014	21	21	3	3	0,002134363	0,002134363	0,000304909	0,000304909
9624	1	31	2014	27	22	2	8	0,002805486	0,002285952	0,000207814	0,000831255
10104	1	32	2014	19	19	2	3	0,001880443	0,001880443	0,000197941	0,000296912
10148	1	33	2014	30	24	1	9	0,002956248	0,002364998	9,85416E-05	0,000886874
10208	1	34	2014	33	32	1	1	0,003232759	0,003134796	9,79624E-05	9,79624E-05
9663	1	35	2014	17	15	1	4	0,001759288	0,001552313	0,000103488	0,00041395
9378	1	36	2014	23	20	3	8	0,002452549	0,002132651	0,000319898	0,00085306
9498	1	37	2014	30	26	1	3	0,00315856	0,002737418	0,000105285	0,000315856
9110	1	38	2014	26	22	1	8	0,002854007	0,002414929	0,000109769	0,000878156
9535	1	39	2014	38	35	1	12	0,003985317	0,003670687	0,000104877	0,001258521
10048	1	40	2014	34	26	2	8	0,003383758	0,00258758	0,000199045	0,000796178
10333	1	41	2014	36	31	2	14	0,003483983	0,003000097	0,000193555	0,001354882
10501	1	42	2014	48	43	4	14	0,004570993	0,004094848	0,000380916	0,001333206
10536	1	43	2014	38	35	4	9	0,003606682	0,003321944	0,000379651	0,000854214
10358	1	44	2014	45	39	1	9	0,004344468	0,003765206	9,65437E-05	0,000868894
9914	1	45	2014	44	39	9	13	0,004438168	0,003933831	0,000907807	0,001311277
9789	1	46	2014	54	47	12	10	0,005516396	0,004801308	0,001225866	0,001021555
9761	1	47	2014	35	30	4	10	0,003585698	0,003073456	0,000409794	0,001024485
9870	1	48	2014	35	32	1	7	0,003546099	0,003242148	0,000101317	0,00070922
10048	1	49	2014	39	38	7	16	0,003881369	0,003781847	0,000696656	0,001592357
9917	1	50	2014	56	55	9	10	0,005646869	0,005546032	0,000907533	0,001008369
9765	1	51	2014	56	47	9	17	0,005734767	0,004813108	0,000921659	0,001740911
9446	1	52	2014	74	67	8	25	0,007834004	0,007092949	0,000846919	0,002646623
9283	1	53	2014	71	64	11	18	0,00764839	0,006894323	0,001184962	0,001939028
9336	1	54	2014	82	69	16	28	0,008783205	0,007390746	0,001713796	0,002999143
9136	1	55	2014	72	58	9	20	0,007880911	0,006348511	0,000985114	0,002189142
8970	1	56	2014	88	77	11	20	0,009810479	0,008584169	0,00122631	0,002229654
8719	1	57	2014	73	64	15	26	0,00837252	0,007340291	0,001720381	0,002981993
8737	1	58	2014	111	106	13	38	0,01270459	0,012132311	0,001487925	0,004349319
8517	1	59	2014	91	78	16	37	0,010684513	0,009158154	0,001878596	0,004344253
8597	1	60	2014	91	81	13	27	0,010585088	0,009421891	0,001512155	0,00314063
8390	1	61	2014	122	101	22	51	0,01454112	0,012038141	0,002622169	0,006078665
8462	1	62	2014	103	85	15	39	0,012172063	0,010044907	0,001772631	0,00460884
8254	1	63	2014	124	101	18	47	0,015023019	0,012236491	0,002180761	0,005694209
8647	1	64	2014	103	100	20	37	0,011911646	0,011564705	0,002312941	0,004278941
8321	1	65	2014	125	113	12	35	0,015022233	0,013580099	0,001442134	0,004206225
8222	1	66	2014	148	124	21	54	0,018000486	0,015081489	0,002554123	0,006567745
8103	1	67	2014	172	153	33	54	0,021226706	0,018881896	0,004072566	0,006664198
7515	1	68	2014	140	117	26	51	0,018629408	0,015568862	0,003459747	0,006786427
5736	1	69	2014	128	115	16	35	0,022315202	0,020048815	0,0027894	0,006101813
5570	1	70	2014	114	107	23	41	0,020466786	0,019210054	0,004129264	0,007360862
5393	1	71	2014	116	94	18	41	0,021509364	0,017430002	0,00333766	0,007602448
5024	1	72	2014	106	88	13	36	0,021098726	0,017515924	0,00258758	0,007165605
4447	1	73	2014	82	75	11	31	0,018439397	0,016865302	0,002473578	0,006970992
8526	2	0	2014	183	167	12	24	0,021463758	0,019587145	0,00140746	0,002814919
8633	2	1	2014	136	123	5	18	0,015753504	0,014247654	0,000579173	0,002085023
8759	2	2	2014	68	67	1	10	0,007763443	0,007649275	0,000114168	0,001141683
8851	2	3	2014	54	47	2	4	0,006101006	0,005310134	0,000225963	0,000451926
9083	2	4	2014	42	38	1	15	0,004624023	0,00418364	0,000110096	0,001651437
9030	2	5	2014	32	27		7	0,003543743	0,002990033	0	0,000775194
8972	2	6	2014	25	22	1	4	0,002786447	0,002452073	0,000111458	0,000445831
8904	2	7	2014	17	14		2	0,001909254	0,001572327	0	0,000224618
8851	2	8	2014	19	21	2	5	0,00214665	0,002372613	0,000225963	0,000564908
8745	2	9	2014	18	19		1	0,002058319	0,00217267	0	0,000114351
8981	2	10	2014	12	11		3	0,001336154	0,001224808	0	0,000334039
8775	2	11	2014	17	13	1	6	0,001937322	0,001481481	0,00011396	0,000683761
8864	2	12	2014	13	11	1	2	0,001466606	0,001240975	0,000112816	0,000225632
9124	2	13	2014	13	12		3	0,001424814	0,001315213	0	0,000328803
9260	2	14	2014	15	13		2	0,00161987	0,001403888	0	0,000215983
8962	2	15	2014	15	16	1	3	0,001673734	0,001785316	0,000111582	0,000334747
9489	2	16	2014	27	21	1	6	0,0028454	0,002213089	0,000105385	0,000632311
9193	2	17	2014	33	31	2	5	0,003589688	0,003372131	0,000217557	0,000543892
9517	2	18	2014	34	29	3	12	0,003572554	0,003047179	0,000315225	0,001260902
9651	2	19	2014	50	43	3	8	0,00518081	0,004455497	0,000310849	0,00082893
9479	2	20	2014	48	50	2	5	0,005063825	0,005274818	0,000210993	0,000527482
9426	2	21	2014	41	42		5	0,004349671	0,004455761	0	0,000530448
9706	2	22	2014	61	56	3	9	0,006284772	0,005769627	0,000309087	0,000927261
9749	2	23	2014	65	56	2	7	0,00666735	0,005744179	0,000205149	0,000718022
9707	2	24	2014	70	68	2	7	0,007211291	0,007005254	0,000206037	0,000721129
9865	2	25	2014	101	94	2	8	0,010238216	0,009528637	0,000202737	0,000810948
9965	2	26	2014	82	75	4	8	0,008228801	0,007526342	0,000401405	0,00080281
9760	2	27	2014	101	93	5	4	0,010348361	0,009528689	0,000512295	0,000409836
9867	2	28	2014	102	97	5	10	0,010337489	0,009830749	0,00050674	0,001013479
9729	2	29	2014	105	102	1	8	0,010792476	0,01048412	0,000102785	0,000822284
9694	2	30	2014	98	95	2	7	0,010109346	0,009799876	0,000206313	0,000722096
9568	2	31	2014	106	102	4	10	0,011078595	0,010660535	0,00041806	0,001045151
10035	2	32	2014	94	92	4	8	0,009367215	0,009167912	0,000398605	0,00079721
10052	2	33	2014	91	80	6	11	0,009052925	0,007958615	0,000596896	0,00109431
10053	2	34	2014	87	87	1	8	0,008654133	0,008654133	9,94728E-05	0,000795782
9530	2	35	2014	95	88	3	12	0,00996852	0,009233998	0,000314795	0,001259182
9208	2	36	2014	79	76	5	13	0,008579496	0,008253692	0,000543006	0,001411816
9237	2	37	2014	69	64	2	9	0,007469958	0,006928656	0,000216521	0,000974342
8893	2	38	2014	69	64	4	8	0,007758912	0,007196672	0,000449792	0,000899584
9091	2	39	2014	43	40	1	5	0,004729953	0,004399956	0,000109999	0,000549995
9690	2	40	2014	61	57	7	8	0,00629515	0,005882353	0,000722394	0,000825593
9949	2	41	2014	62	58	3	14	0,006231782	0,005829732	0,000301538	0,001407177
10295	2	42	2014	52	51	6	10	0,005050996	0,004953861	0,000582807	0,000971345
10281	2	43	2014	48	41	3	12	0,004668807	0,003987939	0,0002918	0,001167202
9893	2	44	2014	56	49	4	8	0,005660568	0,004952997	0,000404326	0,000808653
9678	2	45	2014	50	48	2	5	0,005166357	0,004959702	0,000206654	0,000516636
9671	2	46	2014	42	38	3	7	0,004342881	0,003929273	0,000310206	0,000723813
9620	2	47	2014	44	46	3	5	0,004573805	0,004781705	0,00031185	0,000519751
9692	2	48	2014	67	53	7	13	0,006912918	0,005468428	0,000722245	0,001341312
9871	2	49	2014	46	44	2	11	0,004660115	0,004457502	0,000202614	0,001114375
10028	2	50	2014	61	53	6	16	0,006082968	0,005285201	0,000598325	0,001595533
9705	2	51	2014	62	48	8	10	0,00638846	0,004945904	0,000824317	0,001030397
9634	2	52	2014	61	53	8	22	0,006331742	0,005501349	0,000830392	0,002283579
9336	2	53	2014	54	49	5	15	0,005784062	0,0052485	0,000535561	0,001606684
9163	2	54	2014	64	57	10	21	0,006984612	0,00622067	0,001091346	0,002291826
9397	2	55	2014	64	56	13	24	0,006810684	0,005959349	0,00138342	0,002554007
9262	2	56	2014	68	59	10	19	0,007341827	0,006370114	0,00107968	0,002051393
9036	2	57	2014	53	44	4	15	0,005865427	0,004869411	0,000442674	0,001660027
8979	2	58	2014	75	73	4	16	0,008352823	0,008130081	0,000445484	0,001781936
8993	2	59	2014	67	62	8	22	0,007450239	0,006894251	0,000889581	0,002446347
8864	2	60	2014	78	70	14	22	0,008799639	0,007897112	0,001579422	0,002481949
8774	2	61	2014	71	73	6	22	0,00809209	0,008320036	0,000683839	0,002507408
8890	2	62	2014	79	65	10	25	0,008886389	0,007311586	0,001124859	0,002812148
8620	2	63	2014	77	76	3	18	0,008932715	0,008816705	0,000348028	0,002088167
8822	2	64	2014	81	76	16	30	0,009181591	0,008614827	0,001813648	0,003400589
8776	2	65	2014	86	70	8	22	0,009799453	0,007976299	0,000911577	0,002506837
8635	2	66	2014	75	71	9	24	0,008685582	0,008222351	0,00104227	0,002779386
8532	2	67	2014	98	82	12	26	0,01148617	0,009610877	0,00140647	0,003047351
8192	2	68	2014	87	83	6	29	0,010620117	0,010131836	0,000732422	0,003540039
6142	2	69	2014	85	76	12	24	0,01383914	0,01237382	0,001953761	0,003907522
6044	2	70	2014	97	73	15	33	0,016048974	0,012078094	0,0024818	0,00545996
5818	2	71	2014	87	73	10	25	0,014953592	0,012547267	0,001718804	0,004297009
5532	2	72	2014	75	71	6	25	0,013557484	0,012834418	0,001084599	0,004519161
4882	2	73	2014	93	86	9	29	0,01904957	0,017615731	0,001843507	0,005940188
8532	1	0	2015	254	224	20	51	0,029770277	0,026254102	0,002344116	0,005977496
9115	1	1	2015	157	143	8	35	0,017224355	0,015688426	0,000877674	0,003839824
8937	1	2	2015	65	49	6	21	0,007273134	0,005482824	0,000671366	0,002349782
9213	1	3	2015	36	34	1	8	0,003907522	0,003690437	0,000108542	0,000868338
9149	1	4	2015	39	34	2	11	0,004262761	0,003716253	0,000218603	0,001202317
9298	1	5	2015	23	21		6	0,00247365	0,00225855	0	0,0006453
9402	1	6	2015	28	22	2	9	0,00297809	0,002339928	0,000212721	0,000957243
9415	1	7	2015	18	13		8	0,001911843	0,001380775	0	0,000849708
9376	1	8	2015	19	18		2	0,002026451	0,001919795	0	0,000213311
9403	1	9	2015	13	12		2	0,001382537	0,001276188	0	0,000212698
9395	1	10	2015	17	14	2	4	0,001809473	0,001490154	0,000212879	0,000425758
9491	1	11	2015	18	16	1	1	0,001896534	0,001685808	0,000105363	0,000105363
9335	1	12	2015	11	9		2	0,001178361	0,000964114	0	0,000214247
9501	1	13	2015	16	12		6	0,001684033	0,001263025	0	0,000631512
9714	1	14	2015	23	19	2	3	0,002367717	0,00195594	0,000205888	0,000308833
9966	1	15	2015	16	16	1	3	0,001605459	0,001605459	0,000100341	0,000301023
9641	1	16	2015	18	15	1	6	0,001867026	0,001555855	0,000103724	0,000622342
9755	1	17	2015	15	8	3	7	0,001537673	0,000820092	0,000307535	0,000717581
